iter	Logloss
0	0.668168047
1	0.6539091591
2	0.6339582493
3	0.6193554033
4	0.6038448306
5	0.5911654377
6	0.5648461887
7	0.5417408433
8	0.5255333119
9	0.5118253057
10	0.5078489102
11	0.5009593179
12	0.4902376785
13	0.4863255799
14	0.4818170746
15	0.4729135165
16	0.467286435
17	0.4604640128
18	0.4519976133
19	0.4456522666
20	0.4369124838
21	0.4262014012
22	0.4187838427
23	0.4145790223
24	0.4097075729
25	0.4071010107
26	0.3966810634
27	0.3918136204
28	0.3780196714
29	0.3720616813
30	0.3680453925
31	0.3643621639
32	0.3544738228
33	0.3507409393
34	0.3442451939
35	0.3417366974
36	0.3365284715
37	0.3309444744
38	0.3261975918
39	0.3185437506
40	0.3159845298
41	0.3109479844
42	0.3073570839
43	0.3055286941
44	0.3011860347
45	0.2999429276
46	0.2962114396
47	0.2921792394
48	0.2905106588
49	0.2872353748
50	0.2844538327
51	0.2806922249
52	0.2741633992
53	0.2717455845
54	0.2676983242
55	0.2628115146
56	0.2585367047
57	0.2556977375
58	0.2510911956
59	0.2490003483
60	0.2452061082
61	0.2417611209
62	0.2370439811
63	0.2309620089
64	0.2284949705
65	0.2231016456
66	0.2202173832
67	0.2173754695
68	0.2126268323
69	0.2103192279
70	0.2067148681
71	0.2021583029
72	0.1986044038
73	0.1929700589
74	0.1917233037
75	0.1875847718
76	0.1834584394
77	0.182338626
78	0.1771906479
79	0.1732175258
80	0.1688935095
81	0.1651761858
