iter	Passed	Remaining
0	2	169
1	3	149
2	5	137
3	6	130
4	8	126
5	9	125
6	13	145
7	16	153
8	20	167
9	31	227
10	33	213
11	34	202
12	36	191
13	39	192
14	46	206
15	48	199
16	51	197
17	53	189
18	54	181
19	55	173
20	57	166
21	58	160
22	60	154
23	61	148
24	63	143
25	64	138
26	65	133
27	66	129
28	68	124
29	69	120
30	70	116
31	72	112
32	73	108
33	74	105
34	75	101
35	76	98
36	78	94
37	79	91
38	80	88
39	81	85
40	82	82
41	84	80
42	85	77
43	86	74
44	87	72
45	89	69
46	90	67
47	91	64
48	92	62
49	94	60
50	95	58
51	96	55
52	98	53
53	99	51
54	100	49
55	101	47
56	102	45
57	103	43
58	105	41
59	106	39
60	107	37
61	109	35
62	110	33
63	111	31
64	112	29
65	113	27
66	115	25
67	116	23
68	117	22
69	119	20
70	120	18
71	121	16
72	123	15
73	124	13
74	125	11
75	126	9
76	127	8
77	128	6
78	130	4
79	131	3
80	132	1
81	133	0
